Team,,Rec,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,,SSF,,EW,EL
Arizona St,Big 12,"11-11",0.500,,69,7.68,76,40.61,53,98.54,132,19.54,2.86,13,41.26,18,42.51,3.08,5.92
Boise St,Mountain West,"13-9",0.591,+7,70,7.68,58,42.40,72,96.98,57,22.89,2.89,77,36.53,79,37.06,5.63,3.37
Stanford,Atlantic Coast,"14-8",0.636,-12,71,7.66,79,40.12,93,95.35,69,22.25,2.89,75,36.65,76,38.10,4.07,4.93
Colorado,Big 12,"12-9",0.571,-6,72,7.66,68,41.67,54,98.44,101,20.70,2.94,70,37.45,54,40.32,3.60,6.40
Grand Canyon,Mountain West,"14-7",0.667,+13,73,7.65,85,39.49,129,93.50,43,23.47,2.78,82,35.37,92,35.20,6.36,3.64
Wake Forest,Atlantic Coast,"11-11",0.500,-13,74,7.64,66,41.77,68,97.31,76,21.93,2.89,41,39.20,63,39.72,4.74,4.26
Northwestern,Big 10,"10-12",0.455,+9,75,7.62,54,43.05,81,96.30,38,24.22,2.83,47,38.91,34,41.50,3.16,5.84
Liberty,Conference USA,"18-3",0.857,+11,76,7.62,107,36.66,142,92.51,83,21.63,2.76,181,29.24,168,29.61,7.00,3.00
Tulsa,American Athletic,"18-3",0.857,+12,77,7.61,115,35.79,77,96.42,191,16.84,2.93,138,30.56,132,31.58,6.29,4.71
Maryland,Big 10,"8-12",0.400,-2,78,7.61,62,42.21,75,96.71,55,22.97,2.86,18,40.96,19,42.43,4.46,6.54
Syracuse,Atlantic Coast,"13-9",0.591,-6,79,7.60,78,40.17,86,96.17,84,21.48,2.91,78,36.35,70,39.17,2.90,6.10
Akron,"Mid-American","18-4",0.818,+14,80,7.59,90,38.89,39,99.32,186,17.04,2.79,184,29.18,184,29.11,7.09,1.91
Kansas St,Big 12,"10-11",0.476,-1,81,7.58,65,41.78,64,97.84,86,21.41,2.78,51,38.49,41,41.30,3.33,6.67
Oregon,Big 10,"8-13",0.381,-8,82,7.58,56,42.66,78,96.42,40,23.71,2.91,19,40.88,21,42.34,4.14,5.86
Memphis,American Athletic,"10-10",0.500,-5,83,7.54,72,41.28,82,96.29,64,22.46,2.81,66,37.58,80,36.95,7.39,3.61
Minnesota,Big 10,"10-11",0.476,-1,84,7.53,80,39.85,162,91.94,26,25.39,2.89,52,38.46,51,40.50,3.44,6.56
Georgetown,Big East,"12-10",0.545,+18,85,7.52,96,37.79,113,94.05,90,21.21,2.74,65,37.72,65,39.60,2.69,6.31
Notre Dame,Atlantic Coast,"11-11",0.500,-4,86,7.52,88,39.29,115,94.03,60,22.73,2.82,59,38.12,67,39.41,3.60,5.40
McNeese St,Southland,"18-4",0.818,+13,87,7.51,103,37.00,130,93.45,93,21.02,2.71,202,28.65,229,27.98,7.26,1.74
Providence,Big East,"9-13",0.409,-7,88,7.50,73,40.99,10,103.33,242,15.13,2.87,32,39.82,57,40.23,4.42,4.58
San Francisco,West Coast,"14-10",0.583,+3,89,7.48,86,39.45,100,95.10,78,21.83,2.75,88,34.62,90,35.40,3.85,3.15
Yale,Ivy League,"16-4",0.800,+1,90,7.48,95,37.85,91,95.56,125,19.76,2.82,206,28.48,215,28.32,6.29,1.71
Marquette,Big East,"8-15",0.348,+10,91,7.48,59,42.38,63,97.84,74,22.01,2.90,29,39.98,45,40.89,3.70,4.30
South Florida,American Athletic,"14-8",0.636,+10,92,7.48,97,37.72,38,99.37,224,15.82,2.71,91,34.41,96,34.40,5.41,3.59
Colorado St,Mountain West,"12-10",0.545,-8,93,7.48,77,40.59,118,93.91,39,24.16,2.88,87,34.70,95,34.62,6.15,2.85
Dayton,Atlantic 10,"14-8",0.636,-27,94,7.47,89,38.90,116,93.95,65,22.42,2.81,101,33.23,97,34.31,5.10,3.90
South Carolina,Southeastern,"11-11",0.500,-5,95,7.47,84,39.55,103,94.78,70,22.25,2.91,76,36.54,60,39.86,2.15,6.85
Florida St,Atlantic Coast,"10-12",0.455,+17,96,7.44,81,39.71,61,97.91,139,19.28,3.00,64,37.72,72,38.90,3.89,5.11
FL Atlantic,American Athletic,"14-8",0.636,-9,97,7.44,94,37.91,70,97.25,163,18.14,2.90,97,33.42,106,33.06,6.10,2.90
Pittsburgh,Atlantic Coast,"9-13",0.409,-1,98,7.43,75,40.82,120,93.81,34,24.48,2.80,61,37.83,64,39.68,3.56,5.44
DePaul,Big East,"12-10",0.545,,99,7.42,101,37.25,154,92.13,61,22.60,2.85,79,36.12,74,38.34,2.60,6.40
Utah,Big 12,"9-12",0.429,-5,100,7.42,83,39.58,58,98.08,148,18.98,3.11,57,38.27,49,40.72,3.02,6.98
Penn St,Big 10,"9-12",0.429,-5,101,7.40,82,39.69,66,97.42,128,19.75,2.90,71,37.42,66,39.55,3.65,6.35
Murray St,Missouri Val,"16-7",0.696,-23,102,7.39,114,35.91,57,98.10,240,15.28,2.89,116,32.00,112,32.57,4.42,3.58
Illinois St,Missouri Val,"15-7",0.682,+2,103,7.39,110,36.28,144,92.46,88,21.29,2.87,117,31.80,117,32.39,5.23,3.77
Rutgers,Big 10,"9-13",0.409,-6,104,7.39,91,38.64,96,95.28,97,20.84,2.98,49,38.66,56,40.27,2.93,6.07
Utah Valley,Western Athletic,"16-6",0.727,-12,105,7.38,104,36.86,112,94.28,110,20.06,2.86,164,29.58,179,29.23,6.84,2.16
Wichita St,American Athletic,"13-8",0.619,+3,106,7.38,98,37.71,109,94.35,98,20.83,2.79,108,32.62,108,32.93,6.33,3.67
UNC Wilmington,Coastal,"19-3",0.864,-3,107,7.36,124,34.34,152,92.18,131,19.63,2.74,317,25.11,289,26.06,6.98,3.02
SF Austin,Southland,"19-3",0.864,+12,108,7.35,137,33.27,201,90.41,107,20.33,2.82,290,26.03,286,26.25,6.30,2.70
High Point,Big South,"20-4",0.833,+9,109,7.34,112,36.18,62,97.89,227,15.76,2.81,331,24.46,322,24.39,5.85,1.15
Bradley,Missouri Val,"15-8",0.652,-4,110,7.34,105,36.83,111,94.33,114,19.98,2.98,122,31.33,119,32.10,4.69,3.31
UAB,American Athletic,"14-8",0.636,-4,111,7.33,99,37.50,60,97.97,187,17.00,2.81,121,31.35,118,32.14,5.48,3.52
Cal Baptist,Western Athletic,"16-6",0.727,+11,112,7.30,135,33.40,218,89.79,91,21.08,2.83,134,30.69,156,30.06,5.93,3.07
Davidson,Atlantic 10,"13-8",0.619,+2,113,7.30,119,35.18,204,90.35,67,22.30,2.71,106,32.82,107,32.97,5.04,3.96
Sam Houston St,Conference USA,"15-7",0.682,+13,114,7.30,123,34.80,97,95.23,185,17.05,2.86,129,30.93,145,30.82,5.73,3.27
Northern Iowa,Missouri Val,"14-9",0.609,-1,115,7.27,108,36.63,283,87.20,17,26.90,2.85,120,31.50,111,32.65,4.22,3.78
UC Irvine,Big West,"15-7",0.682,+14,116,7.27,109,36.51,166,91.83,73,22.15,2.81,188,29.06,203,28.60,7.69,2.31
N Dakota St,Summit Lg,"19-5",0.792,+7,117,7.27,141,32.96,133,93.18,180,17.26,2.73,241,27.60,243,27.44,4.80,2.20
Seattle,West Coast,"14-9",0.609,-6,118,7.25,120,35.15,226,89.52,52,23.11,2.94,113,32.17,109,32.81,5.32,4.68
Georgia Tech,Atlantic Coast,"11-11",0.500,-8,119,7.25,106,36.78,108,94.43,123,19.82,2.81,93,34.27,81,36.74,2.79,6.21
UNLV,Mountain West,"10-11",0.476,-1,120,7.24,113,36.09,119,93.90,129,19.67,2.82,80,35.52,84,36.28,4.41,5.59
Hawaii,Big West,"16-5",0.762,+4,121,7.24,126,34.14,188,91.10,104,20.51,2.83,256,27.12,256,27.09,9.36,3.64
Wyoming,Mountain West,"13-9",0.591,,122,7.24,118,35.22,145,92.43,108,20.27,2.94,107,32.63,99,34.23,3.64,5.36
Kent,"Mid-American","16-6",0.727,-7,123,7.22,132,33.72,94,95.34,220,15.85,2.75,194,28.81,196,28.78,5.92,3.08
St Joseph's PA,Atlantic 10,"14-8",0.636,+17,124,7.21,125,34.24,164,91.88,122,19.84,2.79,144,30.45,141,31.30,4.75,4.25
Washington St,West Coast,"11-13",0.458,+7,125,7.19,100,37.41,85,96.17,154,18.71,2.93,92,34.29,91,35.25,3.31,3.69
North Texas,American Athletic,"12-10",0.545,-18,126,7.18,111,36.21,297,86.69,16,26.99,2.75,125,31.10,137,31.43,5.60,3.40
Rhode Island,Atlantic 10,"13-8",0.619,+28,127,7.16,134,33.52,186,91.13,118,19.87,2.89,124,31.15,125,31.84,5.09,4.91
G Washington,Atlantic 10,"13-9",0.591,-7,128,7.16,116,35.69,80,96.33,192,16.83,2.80,137,30.60,122,31.93,4.70,4.30
UC San Diego,Big West,"15-8",0.652,-19,129,7.16,121,35.14,170,91.71,94,20.91,2.64,195,28.80,186,29.05,6.67,3.33
Troy,Sun Belt,"15-8",0.652,-13,130,7.16,129,33.95,127,93.53,171,17.89,2.78,167,29.55,189,29.00,5.56,2.44
Temple,American Athletic,"14-8",0.636,+6,131,7.14,130,33.89,141,92.54,151,18.83,2.87,160,29.82,144,31.08,5.04,4.96
Oakland,Horizon,"13-10",0.565,-3,132,7.14,139,33.13,89,95.90,257,14.70,2.74,99,33.35,136,31.48,5.81,2.19
Drake,Missouri Val,"12-11",0.522,+7,133,7.13,102,37.20,151,92.19,63,22.49,2.75,140,30.53,133,31.51,4.77,3.23
St Bonaventure,Atlantic 10,"13-9",0.591,+4,134,7.11,127,34.04,169,91.75,126,19.76,2.89,143,30.48,127,31.79,4.25,4.75
Col Charleston,Coastal,"15-8",0.652,+22,135,7.11,146,32.54,126,93.54,205,16.48,2.76,165,29.58,169,29.56,5.38,3.62
UT Arlington,Western Athletic,"14-7",0.667,-3,136,7.10,160,31.88,240,89.16,109,20.20,2.83,171,29.41,155,30.08,4.56,4.44
St Thomas MN,Summit Lg,"17-6",0.739,-1,137,7.09,164,31.79,139,92.66,201,16.60,2.82,275,26.56,280,26.52,5.34,2.66
Boston College,Atlantic Coast,"9-12",0.429,+8,138,7.06,122,34.94,206,90.25,72,22.17,2.77,95,33.64,83,36.49,2.69,7.31
South Alabama,Sun Belt,"16-6",0.727,+5,139,7.06,175,31.13,246,88.67,117,19.93,2.82,274,26.64,270,26.86,4.91,3.09
Oregon St,West Coast,"12-12",0.500,+14,140,7.06,131,33.86,175,91.47,120,19.86,2.93,105,32.91,100,34.03,3.13,4.87
Hofstra,Coastal,"14-9",0.609,-15,141,7.06,138,33.24,217,89.86,96,20.86,2.70,173,29.36,192,28.96,5.36,2.64
