Team,,Rec,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,,SSF,,EW,EL
Wake Forest,Atlantic Coast,"11-10",0.524,-8,69,7.70,63,42.18,68,97.27,67,22.38,2.90,40,39.11,63,39.77,5.34,4.66
California,Atlantic Coast,"15-6",0.714,+5,70,7.70,88,39.17,103,94.84,80,21.79,2.88,85,34.76,82,36.74,4.46,5.54
Boise St,Mountain West,"13-9",0.591,+6,71,7.69,59,42.44,73,97.00,57,22.90,2.89,73,36.54,79,37.06,5.64,3.36
Xavier,Big East,"11-10",0.524,-9,72,7.69,60,42.44,40,99.32,105,20.58,2.92,47,38.71,58,40.20,4.74,5.26
Northwestern,Big 10,"10-11",0.476,+11,73,7.68,50,43.41,76,96.64,37,24.24,2.83,43,38.98,35,41.53,3.94,6.06
Colorado,Big 12,"12-9",0.571,-8,74,7.67,67,41.68,51,98.42,100,20.72,2.94,66,37.49,54,40.35,3.60,6.40
Grand Canyon,Mountain West,"14-7",0.667,+11,75,7.66,87,39.50,125,93.50,45,23.46,2.78,81,35.37,92,35.19,6.38,3.62
Liberty,Conference USA,"18-3",0.857,+11,76,7.63,106,36.66,147,92.46,83,21.66,2.77,179,29.23,168,29.61,7.00,3.00
Tulsa,American Athletic,"18-3",0.857,+12,77,7.62,116,35.83,80,96.44,193,16.85,2.93,137,30.61,132,31.60,6.31,4.69
Maryland,Big 10,"8-12",0.400,-2,78,7.62,62,42.24,74,96.77,55,22.94,2.86,13,40.98,19,42.44,4.48,6.52
Akron,"Mid-American","18-4",0.818,+15,79,7.61,89,38.93,41,99.30,185,17.09,2.79,178,29.24,183,29.20,7.06,1.94
Kansas St,Big 12,"10-11",0.476,,80,7.60,65,41.80,63,97.84,86,21.42,2.78,50,38.51,41,41.33,3.33,6.67
Oregon,Big 10,"8-13",0.381,-7,81,7.60,57,42.68,78,96.51,42,23.63,2.91,15,40.91,21,42.36,4.15,5.85
Yale,Ivy League,"16-3",0.842,+9,82,7.60,92,38.20,90,95.87,123,19.80,2.82,197,28.74,216,28.32,7.24,1.76
Syracuse,Atlantic Coast,"12-9",0.571,-10,83,7.57,79,39.90,89,95.87,85,21.49,2.91,78,36.31,70,39.14,3.45,6.55
Notre Dame,Atlantic Coast,"11-10",0.524,-2,84,7.56,84,39.55,116,94.00,54,23.01,2.82,58,37.88,69,39.41,4.05,5.95
Memphis,American Athletic,"10-10",0.500,-7,85,7.56,72,41.30,84,96.28,65,22.48,2.81,62,37.61,80,36.97,7.40,3.60
Minnesota,Big 10,"10-11",0.476,-3,86,7.54,81,39.86,159,92.02,27,25.30,2.90,51,38.45,51,40.50,3.44,6.56
Colorado St,Mountain West,"12-9",0.571,-2,87,7.53,74,40.92,112,94.28,38,24.10,2.87,89,34.56,95,34.61,6.86,3.14
South Florida,American Athletic,"14-7",0.667,+14,88,7.53,96,37.79,38,99.41,223,15.84,2.71,91,34.31,96,34.41,5.97,4.03
South Carolina,Southeastern,"11-10",0.524,+1,89,7.52,82,39.76,109,94.32,58,22.90,2.91,74,36.49,59,39.96,2.69,7.31
Providence,Big East,"9-13",0.409,-9,90,7.52,73,41.02,10,103.33,244,15.15,2.87,29,39.82,57,40.25,4.41,4.59
McNeese St,Southland,"17-4",0.810,+9,91,7.51,101,37.17,121,93.75,97,20.88,2.71,199,28.67,228,28.04,8.01,1.99
Marquette,Big East,"8-14",0.364,+9,92,7.51,58,42.51,60,98.00,76,21.97,2.90,28,39.84,44,40.93,4.18,4.82
Dayton,Atlantic 10,"14-8",0.636,-26,93,7.49,90,38.91,118,93.93,66,22.44,2.81,99,33.24,97,34.34,5.07,3.93
San Francisco,West Coast,"13-10",0.565,-2,94,7.48,85,39.55,100,94.92,73,22.09,2.76,84,34.91,90,35.37,4.75,3.25
Utah,Big 12,"9-11",0.450,,95,7.47,80,39.88,53,98.38,146,18.96,3.12,56,38.24,49,40.69,3.67,7.33
Georgetown,Big East,"11-10",0.524,+7,96,7.47,100,37.38,117,93.94,94,20.90,2.75,70,37.33,65,39.59,2.81,7.19
FL Atlantic,American Athletic,"14-8",0.636,-9,97,7.45,95,37.90,69,97.25,164,18.11,2.91,97,33.40,106,33.06,6.09,2.91
Murray St,Missouri Val,"16-6",0.727,-19,98,7.45,113,36.26,61,97.92,225,15.80,2.88,119,31.68,112,32.65,4.86,4.14
DePaul,Big East,"12-9",0.571,,99,7.44,102,37.10,154,92.21,68,22.36,2.86,79,35.63,74,38.36,2.75,7.25
Pittsburgh,Atlantic Coast,"9-12",0.429,-3,100,7.44,75,40.88,113,94.27,39,24.08,2.80,72,37.19,64,39.67,3.77,6.23
Florida St,Atlantic Coast,"9-12",0.429,+12,101,7.41,86,39.55,65,97.58,134,19.43,3.00,60,37.73,72,38.93,4.39,5.61
Penn St,Big 10,"9-12",0.429,-6,102,7.41,83,39.70,66,97.49,126,19.67,2.91,67,37.44,66,39.55,3.67,6.33
Illinois St,Missouri Val,"15-7",0.682,+2,103,7.40,112,36.32,143,92.55,88,21.24,2.87,118,31.86,116,32.44,5.23,3.77
Rutgers,Big 10,"9-12",0.429,-6,104,7.40,91,38.49,95,95.24,101,20.72,2.99,54,38.29,56,40.27,3.14,6.86
Utah Valley,Western Athletic,"16-6",0.727,-12,105,7.39,105,36.85,111,94.29,113,20.02,2.87,167,29.56,181,29.22,6.83,2.17
Wichita St,American Athletic,"13-8",0.619,+3,106,7.39,97,37.72,108,94.32,98,20.86,2.80,108,32.63,108,32.94,6.33,3.67
UNC Wilmington,Coastal,"19-3",0.864,-3,107,7.37,125,34.37,153,92.23,128,19.60,2.74,320,25.11,289,26.08,6.97,3.03
SF Austin,Southland,"18-3",0.857,+12,108,7.35,141,32.95,207,90.18,109,20.23,2.82,285,26.31,286,26.34,7.02,2.98
High Point,Big South,"19-4",0.826,+9,109,7.32,115,36.07,57,98.24,237,15.29,2.82,335,24.30,320,24.46,6.54,1.46
UAB,American Athletic,"13-8",0.619,-3,110,7.30,99,37.39,62,97.91,189,16.94,2.81,127,31.04,118,32.21,5.88,4.12
Bradley,Missouri Val,"14-8",0.636,-5,111,7.29,109,36.52,115,94.03,117,19.95,3.00,130,30.93,119,32.15,4.94,4.06
UC Irvine,Big West,"15-7",0.682,+18,112,7.28,108,36.52,165,91.90,75,22.08,2.81,188,29.08,205,28.58,7.71,2.29
Georgia Tech,Atlantic Coast,"11-10",0.524,-2,113,7.28,103,37.03,105,94.36,111,20.13,2.81,93,33.81,81,36.82,3.07,6.93
Sam Houston St,Conference USA,"14-7",0.667,+13,114,7.28,124,34.56,101,94.89,183,17.13,2.86,128,31.03,145,30.82,6.35,3.65
Cal Baptist,Western Athletic,"15-6",0.714,+8,115,7.27,138,33.12,233,89.23,87,21.36,2.84,140,30.50,155,30.12,6.25,3.75
Northern Iowa,Missouri Val,"13-9",0.591,-2,116,7.27,107,36.57,284,87.22,17,26.81,2.85,117,31.90,111,32.69,5.06,3.94
N Dakota St,Summit Lg,"18-5",0.783,+7,117,7.27,140,33.01,135,93.04,178,17.44,2.73,242,27.64,243,27.48,5.48,2.52
Seattle,West Coast,"14-9",0.609,-6,118,7.26,119,35.10,226,89.49,52,23.08,2.95,113,32.08,109,32.77,5.28,4.72
G Washington,Atlantic 10,"13-8",0.619,+2,119,7.26,111,36.32,75,96.67,184,17.12,2.81,126,31.07,120,32.07,5.72,4.28
UNLV,Mountain West,"10-11",0.476,-1,120,7.26,114,36.11,120,93.90,127,19.67,2.82,80,35.50,84,36.27,4.41,5.59
Davidson,Atlantic 10,"12-8",0.600,-6,121,7.25,123,34.58,209,90.12,78,21.93,2.73,109,32.58,107,32.97,5.27,4.73
Troy,Sun Belt,"15-7",0.682,-5,122,7.25,122,34.58,114,94.06,170,17.98,2.79,162,29.76,186,29.06,6.45,2.55
Kent,"Mid-American","16-6",0.727,-7,123,7.24,133,33.75,93,95.33,221,15.89,2.75,193,28.90,195,28.84,5.92,3.08
North Texas,American Athletic,"12-9",0.571,-16,124,7.23,110,36.33,294,86.77,16,27.02,2.75,129,30.93,139,31.41,6.22,3.78
Hawaii,Big West,"15-5",0.750,,125,7.22,129,34.03,200,90.54,93,20.95,2.83,261,26.97,258,27.05,9.98,4.02
UC San Diego,Big West,"15-7",0.682,-16,126,7.22,117,35.56,157,92.03,92,20.99,2.63,204,28.58,192,28.95,7.45,3.55
Wyoming,Mountain West,"12-9",0.571,-5,127,7.19,121,34.90,144,92.53,122,19.84,2.94,111,32.35,99,34.22,3.94,6.06
